Date,Currency,Base,Counter,Cropto,Price,Percent,rAlign
2017-12-21 00:55:00,모나코,MCO,ETH,0.01965013,"20,927 KRW",-3.68%,575.929
2017-12-21 00:55:00,뱅코르,BNT,ETH,0.00560602,"5,970 KRW",-5.38%,406.978
2017-12-21 00:55:00,싱귤러디티비,SNGLS,ETH,0.00024472,261 KRW,+22.52%,384.647
2017-12-21 00:55:00,메탈,MTL,ETH,0.01194492,"12,721 KRW",+7.32%,364.853
2017-12-21 00:55:00,애드엑스,ADX,ETH,0.00200559,"2,136 KRW",-9.86%,356.833
2017-12-21 00:55:00,디센트럴랜드,MANA,ETH,0.00012976,138 KRW,-5.42%,352.789
2017-12-21 00:55:00,리피오크레딧네트워크,RCN,ETH,0.00029998,319 KRW,-4.61%,307.003
2017-12-21 00:55:00,디직스다오,DGD,ETH,0.21000000,"223,650 KRW",-5.68%,302.290
2017-12-21 00:55:00,퍼스트블러드,1ST,ETH,0.00082509,879 KRW,-7.37%,267.236
2017-12-21 00:55:00,아이젝,RLC,ETH,0.00144711,"1,541 KRW",+20.13%,244.413
2017-12-21 00:55:00,코파운드잇,CFI,ETH,0.00026785,285 KRW,-7.30%,220.593
2017-12-21 00:55:00,바이버레이트,VIB,ETH,0.00026846,286 KRW,-5.59%,217.353
2017-12-21 00:55:00,애드토큰,ADT,ETH,0.00005500,58.58 KRW,-0.29%,215.565
2017-12-21 00:55:00,아라곤,ANT,ETH,0.00381000,"4,058 KRW",-6.14%,207.603
2017-12-21 00:55:00,노시스,GNO,ETH,0.25111800,"267,441 KRW",-2.22%,206.214
2017-12-21 00:55:00,휴매닉,HMQ,ETH,0.00043300,461 KRW,-4.87%,198.635
2017-12-21 00:55:00,팩텀,FCT,ETH,0.05500321,"58,578 KRW",+7.88%,187.455
2017-12-21 00:55:00,페이션토리,PTOY,ETH,0.00058059,618 KRW,-9.02%,152.701
2017-12-21 00:55:00,블록틱스,TIX,ETH,0.00160005,"1,704 KRW",-4.84%,147.200
2017-12-21 00:55:00,미스테리움,MYST,ETH,0.00182769,"1,946 KRW",-6.56%,139.898
2017-12-21 00:55:00,구피,GUP,ETH,0.00078600,837 KRW,-8.60%,117.135
2017-12-21 00:55:00,윙스다오,WINGS,ETH,0.00108000,"1,150 KRW",+2.19%,102.550
2017-12-21 00:55:00,뉴메레르,NMR,ETH,0.03350390,"35,682 KRW",-2.01%,64.124
2017-12-21 00:55:00,퀀텀리지스턴트렛저,QRL,ETH,0.00197552,"2,104 KRW",-1.58%,60.177
2017-12-21 00:55:00,비트코인,BTC,USDT,"16,425.430","17,752,961 KRW",-5.31%,"220,422,863"
2017-12-21 00:55:00,비트코인캐시,BCC,USDT,"3,721.102","4,021,848 KRW",+39.37%,"119,983,160"
2017-12-21 00:55:00,이더리움,ETH,USDT,795.360,"859,642 KRW",-0.49%,"29,562,689"
2017-12-21 00:55:00,라이트코인,LTC,USDT,308.154,"333,060 KRW",-9.63%,"21,680,191"
2017-12-21 00:55:00,네오,NEO,USDT,68.000,"73,496 KRW",-1.98%,"17,859,714"
2017-12-21 00:55:00,리플,XRP,USDT,0.703,760 KRW,-3.70%,"16,078,025"
2017-12-21 00:55:00,오미세고,OMG,USDT,17.011,"18,385 KRW",-4.51%,"10,959,275"
2017-12-21 00:55:00,모네로,XMR,USDT,453.582,"490,242 KRW",+26.00%,"10,421,218"
2017-12-21 00:55:00,이더리움클래식,ETC,USDT,38.600,"41,720 KRW",+2.63%,"9,162,175"
2017-12-21 00:55:00,지캐시,ZEC,USDT,634.000,"685,241 KRW",+8.01%,"6,924,487"
2017-12-21 00:55:00,대시,DASH,USDT,"1,410.080","1,524,045 KRW",+23.35%,"6,688,340"
