Id,Name,Currency,Base,Counter,Volume($),Price($),Volume(%),Date
246, Bittrex ,FoldingCoin,FLDC,BTC,"701,126",0.036428,0.02%,2017-12-21
247, Bittrex ,GridCoin,GRC,BTC,"677,618",0.105691,0.02%,2017-12-21
248, Bittrex ,Incent,INCNT,BTC,"669,496",0.374879,0.02%,2017-12-21
249, Bittrex ,Bitswift,SWIFT,BTC,"663,672",2.28,0.02%,2017-12-21
250, Bittrex ,Crown,CRW,BTC,"656,229",3.49,0.02%,2017-12-21
251, Bittrex ,adToken,ADT,BTC,"634,239",0.044979,0.01%,2017-12-21
252, Bittrex ,eBoost,EBST,BTC,"628,823",0.221986,0.01%,2017-12-21
253, Bittrex ,Pesetacoin,PTC,BTC,"620,099",0.080209,0.01%,2017-12-21
254, Bittrex ,I/O Coin,IOC,BTC,"617,012",2.91,0.01%,2017-12-21
255, Bittrex ,Circuits of Value,COVAL,BTC,"608,964",0.015050,0.01%,2017-12-21
256, Bittrex ,Myriad,XMY,BTC,"600,700",0.009748,0.01%,2017-12-21
257, Bittrex ,CannabisCoin,CANN,BTC,"589,156",0.080551,0.01%,2017-12-21
258, Bittrex ,Breakout,BRK,BTC,"566,293",0.510841,0.01%,2017-12-21
259, Bittrex ,FunFair,FUN,ETH,"561,241",0.052281,0.01%,2017-12-21
260, Bittrex ,Blocknet,BLOCK,BTC,"560,656",29.52,0.01%,2017-12-21
261, Bittrex ,Tokes,TKS,BTC,"553,771",4.04,0.01%,2017-12-21
262, Bittrex ,Waves,WAVES,ETH,"551,293",15.60,0.01%,2017-12-21
263, Bittrex ,Storj,STORJ,ETH,"550,437",1.56,0.01%,2017-12-21
264, Bittrex ,Vcash,XVC,BTC,"550,110",1.40,0.01%,2017-12-21
265, Bittrex ,Gulden,NLG,BTC,"549,484",0.147079,0.01%,2017-12-21
266, Bittrex ,Nexium,NXC,BTC,"546,483",0.329216,0.01%,2017-12-21
267, Bittrex ,Sphere,SPHR,BTC,"525,451",5.07,0.01%,2017-12-21
268, Bittrex ,SALT,SALT,ETH,"518,504",9.39,0.01%,2017-12-21
269, Bittrex ,Basic Attention Token,BAT,ETH,"513,652",0.338566,0.01%,2017-12-21
270, Bittrex ,Chronobank,TIME,BTC,"474,512",18.84,0.00%,2017-12-21
271, Bittrex ,Emercoin,EMC,BTC,"473,371",1.59,0.01%,2017-12-21
272, Bittrex ,Gambit,GAM,BTC,"468,155",27.55,0.01%,2017-12-21
273, Bittrex ,Monaco,MCO,ETH,"456,770",16.36,0.01%,2017-12-21
274, Bittrex ,ION,ION,BTC,"451,583",2.55,0.01%,2017-12-21
275, Bittrex ,SolarCoin,SLR,BTC,"448,216",0.578053,0.01%,2017-12-21
276, Bittrex ,Qwark,QWARK,BTC,"439,687",0.226604,0.01%,2017-12-21
277, Bittrex ,Capricoin,CPC,BTC,"435,346",0.577882,0.01%,2017-12-21
278, Bittrex ,Lunyr,LUN,BTC,"427,896",7.96,0.01%,2017-12-21
279, Bittrex ,Aeon,AEON,BTC,"419,940",3.99,0.01%,2017-12-21
280, Bittrex ,Auroracoin,AUR,BTC,"398,992",1.49,0.01%,2017-12-21
281, Bittrex ,ArtByte,ABY,BTC,"389,709",0.013169,0.01%,2017-12-21
282, Bittrex ,NeosCoin,NEOS,BTC,"371,393",6.45,0.01%,2017-12-21
283, Bittrex ,BitSend,BSD,BTC,"364,854",1.37,0.01%,2017-12-21
284, Bittrex ,SaluS,SLS,BTC,"357,758",31.78,0.01%,2017-12-21
285, Bittrex ,Bancor,BNT,ETH,"334,731",4.51,0.01%,2017-12-21
286, Bittrex ,Legends Room,LGD,BTC,"323,687",1.15,0.01%,2017-12-21
287, Bittrex ,Startcoin,START,BTC,"317,612",0.117834,0.01%,2017-12-21
288, Bittrex ,SingularDTV,SNGLS,ETH,"306,797",0.197108,0.01%,2017-12-21
289, Bittrex ,Clams,CLAM,BTC,"300,046",10.69,0.01%,2017-12-21
290, Bittrex ,Metal,MTL,ETH,"293,000",9.20,0.01%,2017-12-21
291, Bittrex ,Diamond,DMD,BTC,"292,791",18.81,0.01%,2017-12-21
292, Bittrex ,AdEx,ADX,ETH,"285,937",1.65,0.01%,2017-12-21
293, Bittrex ,Decentraland,MANA,ETH,"283,492",0.108968,0.01%,2017-12-21
294, Bittrex ,Databits,DTB,BTC,"279,089",1.01,0.01%,2017-12-21
295, Bittrex ,BitcoinDark,BTCD,BTC,"278,492",239.43,0.01%,2017-12-21
296, Bittrex ,Creditbit,CRB,BTC,"277,597",0.450813,0.01%,2017-12-21
297, Bittrex ,Bitcrystals,BCY,BTC,"273,131",0.588314,0.01%,2017-12-21
